KEY     COMM             STATUS   TRAIN_COUNT LAST_MOD ANOMALIES NORMAL TIME
5259631 systemd-sleep    Normal   19039       0        0         2020-03-03 17:50:58
5259625 systemd-sleep    Training 1274        422      32        2020-03-08 17:51:52
5259628 systemd-sysctl   Training 554         74       0         2020-02-25 18:41:25
5259377 systemd-tmpfi... Training 29199       5014     0         2020-02-26 20:34:00
5259378 systemd-tty-a... Normal   17348       17348    0         2020-03-03 15:44:19
5259635 systemd-user-... Training 5786        1529     0         2020-02-23 16:13:54
5259642 systemd-user-... Normal   1452        1452     0         2020-03-15 09:29:04
5259636 systemd-user-... Training 1630        405      0         2020-02-26 20:18:40
5259643 systemd-user-... Normal   409         409      0         2020-03-15 09:29:39
5255864 tail             Training 137946      1326     0         2020-03-03 19:14:51
5264292 tbl              Training 3200        2081     0         2020-02-21 15:50:44
5255865 tee              Training 1616        323      0         2020-02-28 22:16:31
5255866 test             Normal   75          75       0         2020-03-09 17:25:21
5380461 thunderbird      Training 1906232     1        0         2020-02-26 21:07:36
5275208 thunderbird      Training 427         237      0         2020-02-26 21:07:35
5275250 tmux             Training 1334866     36988    0         2020-02-23 16:02:25
5255868 touch            Training 1749        837      0         2020-03-03 16:54:23
5247138 tput             Training 300534      147106   32        2020-02-21 15:03:37
