COMM:        firefox
KEY:         22291138
STATUS:      Training
NORM TIME:   2020-02-15 15:38:29
ANOMALIES:   0

TRAINING DATA:
                    CURR                     PREV            FLAGS
                    READ                     READ            11111111
                   WRITE                     READ            11111111
                   CLOSE                     READ            11111111
                    STAT                     READ            11111111
                   FSTAT                     READ            11111111
                   LSTAT                     READ            11111110
                    POLL                     READ            11111111
                   LSEEK                     READ            11111111
                    MMAP                     READ            11111111
                MPROTECT                     READ            11111111
                  MUNMAP                     READ            11111111
                     BRK                     READ            10000000
            RT_SIGACTION                     READ            11111111
          RT_SIGPROCMASK                     READ            11111111
                   IOCTL                     READ            11111110
                   PREAD                     READ            11111100
                   READV                     READ            11111110
                  WRITEV                     READ            11111111
                  ACCESS                     READ            11111110
                    PIPE                     READ            10000000
             SCHED_YIELD                     READ            10011100
                 MADVISE                     READ            11111111
                     DUP                     READ            11111110
                  GETPID                     READ            11111111
                  SOCKET                     READ            11111100
                 CONNECT                     READ            11111110
                  SENDTO                     READ            11111111
                RECVFROM                     READ            11111111
                 SENDMSG                     READ            11111111
                 RECVMSG                     READ            11111111
                SHUTDOWN                     READ            11100000
             GETSOCKNAME                     READ            11010110
             GETPEERNAME                     READ            11111110
              SOCKETPAIR                     READ            11110000
              SETSOCKOPT                     READ            11111110
              GETSOCKOPT                     READ            11101100
                   CLONE                     READ            11111110
                   WAIT4                     READ            11111110
                   UNAME                     READ            11111110
                   SHMDT                     READ            11000000
                   FCNTL                     READ            11111111
                   FSYNC                     READ            11111110
               FTRUNCATE                     READ            11111110
                  RENAME                     READ            11111110
                   MKDIR                     READ            11111100
                   RMDIR                     READ            00000010
                  UNLINK                     READ            11111100
                 SYMLINK                     READ            00100100
                READLINK                     READ            11111110
               GETRUSAGE                     READ            11111110
                 SYSINFO                     READ            11011110
                  GETUID                     READ            11111100
                  GETGID                     READ            00011000
                 GETEUID                     READ            11111110
               GETRESUID                     READ            00011000
               GETRESGID                     READ            00001100
             SIGALTSTACK                     READ            10000000
                  STATFS                     READ            11111100
                 FSTATFS                     READ            01111111
             GETPRIORITY                     READ            11110000
             SETPRIORITY                     READ            11111000
                   PRCTL                     READ            11111110
              ARCH_PRCTL                     READ            01000000
                QUOTACTL                     READ            11111110
                  GETTID                     READ            11111110
               READAHEAD                     READ            00001100
                   FUTEX                     READ            11111111
       SCHED_GETAFFINITY                     READ            11100000
              GETDENTS64                     READ            11111100
         RESTART_SYSCALL                     READ            11111111
               FADVISE64                     READ            11111111
           CLOCK_GETTIME                     READ            01111000
              EPOLL_WAIT                     READ            11111111
               EPOLL_CTL                     READ            11111111
       INOTIFY_ADD_WATCH                     READ            00110000
                  OPENAT                     READ            11111111
         SET_ROBUST_LIST                     READ            11111111
               FALLOCATE                     READ            00100010
                EVENTFD2                     READ            11111000
           EPOLL_CREATE1                     READ            00110000
                   PIPE2                     READ            00011000
               PRLIMIT64                     READ            11111110
                 SECCOMP                     READ            10100010
               GETRANDOM                     READ            11111110
                    READ                    WRITE            11111111
                   WRITE                    WRITE            11111111
                   CLOSE                    WRITE            11111111
                    STAT                    WRITE            11111111
                   FSTAT                    WRITE            11111111
                   LSTAT                    WRITE            11111110
                    POLL                    WRITE            11111111
                   LSEEK                    WRITE            11111111
                    MMAP                    WRITE            11111111
                MPROTECT                    WRITE            11111111
                  MUNMAP                    WRITE            11111111
            RT_SIGACTION                    WRITE            11111111
          RT_SIGPROCMASK                    WRITE            11111110
                   IOCTL                    WRITE            11111111
                   PREAD                    WRITE            11111110
                  WRITEV                    WRITE            11111111
                  ACCESS                    WRITE            11111111
                    PIPE                    WRITE            01000000
             SCHED_YIELD                    WRITE            11111111
                 MADVISE                    WRITE            11111111
                   SHMAT                    WRITE            10000000
                  SHMCTL                    WRITE            11000000
                     DUP                    WRITE            11111111
                  GETPID                    WRITE            11111111
                  SOCKET                    WRITE            11111000
                 CONNECT                    WRITE            11111111
                  SENDTO                    WRITE            11111111
                RECVFROM                    WRITE            11111111
                 SENDMSG                    WRITE            11111111
                 RECVMSG                    WRITE            11111111
                SHUTDOWN                    WRITE            00001000
             GETSOCKNAME                    WRITE            11111111
             GETPEERNAME                    WRITE            11111111
              SOCKETPAIR                    WRITE            11111111
              SETSOCKOPT                    WRITE            11111111
              GETSOCKOPT                    WRITE            11111110
                   CLONE                    WRITE            11111111
                   WAIT4                    WRITE            10101111
                   UNAME                    WRITE            11111111
                   SHMDT                    WRITE            00001011
                   FCNTL                    WRITE            11111111
                   FSYNC                    WRITE            11111111
               FTRUNCATE                    WRITE            11111111
                  RENAME                    WRITE            11111111
                   MKDIR                    WRITE            11111111
                   RMDIR                    WRITE            11001001
                  UNLINK                    WRITE            11111111
                READLINK                    WRITE            00100000
               GETRUSAGE                    WRITE            11111111
                 SYSINFO                    WRITE            01011111
                  GETUID                    WRITE            11111110
                  GETGID                    WRITE            11000011
                 GETEUID                    WRITE            11111110
             SIGALTSTACK                    WRITE            01000000
                  STATFS                    WRITE            11100000
             GETPRIORITY                    WRITE            11111100
             SETPRIORITY                    WRITE            11111110
          SCHED_GETPARAM                    WRITE            00000100
      SCHED_GETSCHEDULER                    WRITE            00000010
                   PRCTL                    WRITE            11111110
                QUOTACTL                    WRITE            11111111
                  GETTID                    WRITE            11111111
                   FUTEX                    WRITE            11111111
       SCHED_GETAFFINITY                    WRITE            11111111
              GETDENTS64                    WRITE            11111110
         RESTART_SYSCALL                    WRITE            11110010
               FADVISE64                    WRITE            11111010
           CLOCK_GETTIME                    WRITE            01111111
              EPOLL_WAIT                    WRITE            11111110
               EPOLL_CTL                    WRITE            11111111
       INOTIFY_ADD_WATCH                    WRITE            01001000
                  OPENAT                    WRITE            11111111
         SET_ROBUST_LIST                    WRITE            10111000
                  SPLICE                    WRITE            01110100
               FALLOCATE                    WRITE            11111111
                EVENTFD2                    WRITE            00000011
           INOTIFY_INIT1                    WRITE            01101100
               PRLIMIT64                    WRITE            10000000
                SENDMMSG                    WRITE            10000000
                 SECCOMP                    WRITE            00000001
               GETRANDOM                    WRITE            11111111
                   STATX                    WRITE            11001110
                    READ                     OPEN            11111111
                    OPEN                     OPEN            01110011
                   CLOSE                     OPEN            01000010
                   FSTAT                     OPEN            00001000
                    MMAP                     OPEN            10000100
                  MUNMAP                     OPEN            00100001
                    READ                    CLOSE            11111111
                   WRITE                    CLOSE            11111111
                    OPEN                    CLOSE            10011100
                   CLOSE                    CLOSE            11111111
                    STAT                    CLOSE            11111111
                   FSTAT                    CLOSE            11111111
                   LSTAT                    CLOSE            11111111
                    POLL                    CLOSE            11111111
                   LSEEK                    CLOSE            11111111
                    MMAP                    CLOSE            11111111
                MPROTECT                    CLOSE            11111111
                  MUNMAP                    CLOSE            11111111
                     BRK                    CLOSE            00100000
            RT_SIGACTION                    CLOSE            11110110
          RT_SIGPROCMASK                    CLOSE            11111111
                   IOCTL                    CLOSE            11111111
                  PWRITE                    CLOSE            00100010
                   READV                    CLOSE            11111110
                  WRITEV                    CLOSE            11111110
                  ACCESS                    CLOSE            11111111
                    PIPE                    CLOSE            00001000
             SCHED_YIELD                    CLOSE            11110000
                 MADVISE                    CLOSE            11111111
                     DUP                    CLOSE            11111111
                  GETPID                    CLOSE            11111111
                  SOCKET                    CLOSE            11110111
                 CONNECT                    CLOSE            11111111
                  SENDTO                    CLOSE            11111111
                RECVFROM                    CLOSE            11111111
                 SENDMSG                    CLOSE            11111111
                 RECVMSG                    CLOSE            11111111
                SHUTDOWN                    CLOSE            11001111
                    BIND                    CLOSE            11100000
             GETSOCKNAME                    CLOSE            11111001
             GETPEERNAME                    CLOSE            11111100
              SOCKETPAIR                    CLOSE            11011111
              SETSOCKOPT                    CLOSE            11111110
              GETSOCKOPT                    CLOSE            11111111
                   CLONE                    CLOSE            11111111
                  EXECVE                    CLOSE            01000000
                   WAIT4                    CLOSE            11111111
                   UNAME                    CLOSE            11111000
                   FCNTL                    CLOSE            11111111
                   FSYNC                    CLOSE            11111111
               FTRUNCATE                    CLOSE            11111111
                  GETCWD                    CLOSE            00000010
                  RENAME                    CLOSE            11111111
                   MKDIR                    CLOSE            11111110
                  UNLINK                    CLOSE            11111111
                 SYMLINK                    CLOSE            01001000
                READLINK                    CLOSE            11111101
                   UMASK                    CLOSE            01010000
               GETRUSAGE                    CLOSE            10101000
                 SYSINFO                    CLOSE            11110100
                  GETUID                    CLOSE            11111110
                  GETGID                    CLOSE            01000001
                 GETEUID                    CLOSE            11101000
                 GETEGID                    CLOSE            00100000
               GETRESUID                    CLOSE            00100000
               GETRESGID                    CLOSE            00010000
                  STATFS                    CLOSE            11111100
                 FSTATFS                    CLOSE            11111111
             SETPRIORITY                    CLOSE            10000000
                   PRCTL                    CLOSE            11111110
