COMM:        sudo
KEY:         20995616
STATUS:      Training
NORM TIME:   2020-02-15 15:35:45
ANOMALIES:   0

TRAINING DATA:
                    CURR                     PREV            FLAGS
                    READ                     READ            11111111
                    READ                    CLOSE            11111111
                    READ                     STAT            11111110
                    READ                    FSTAT            11111111
                    READ                     POLL            11000000
                    READ                    LSEEK            11111111
                    READ                     MMAP            11111100
                    READ                 MPROTECT            11111111
                    READ                   MUNMAP            01111010
                    READ                      BRK            00011111
                    READ             RT_SIGACTION            11111100
                    READ           RT_SIGPROCMASK            11111111
                    READ                    IOCTL            10000011
                    READ                   ACCESS            11000000
                    READ                    ALARM            11111110
                    READ                   SOCKET            10110000
                    READ                  CONNECT            11011000
                    READ                   SENDTO            11000000
                    READ                 RECVFROM            01110000
                    READ                  RECVMSG            11111000
                    READ                    FCNTL            11111111
                    READ                   GETCWD            00000110
                    READ                    UMASK            00011100
                    READ                   GETUID            10001100
                    READ                   SETGID            00110000
                    READ                  GETEUID            10001000
                    READ                GETGROUPS            01110010
                    READ                SETGROUPS            11111000
                    READ                SETRESUID            01111110
                    READ                GETRESUID            00011100
                    READ                SETRESGID            11111110
                    READ                GETRESGID            10001110
                    READ              GETPRIORITY            00001100
                    READ              SETPRIORITY            00011000
                    READ                    PRCTL            11000000
                    READ                    FUTEX            00010010
                    READ               GETDENTS64            11111110
                    READ                   OPENAT            11111111
                    READ                    PPOLL            01111011
                    READ                PRLIMIT64            11111000
                   WRITE                     READ            10000000
                   WRITE                    WRITE            11111111
                   WRITE                    CLOSE            11000000
                   WRITE                    FSTAT            11111111
                   WRITE                SETGROUPS            11110000
                   WRITE                SETRESUID            11111110
                   WRITE                SETRESGID            11111100
                   WRITE                   OPENAT            11111110
                   WRITE                PRLIMIT64            11111111
                   CLOSE                     READ            11111111
                   CLOSE                    CLOSE            11111111
                   CLOSE                     STAT            11111111
                   CLOSE                    FSTAT            11111110
                   CLOSE                     POLL            11000100
                   CLOSE                    LSEEK            11111110
                   CLOSE                     MMAP            11111111
                   CLOSE                 MPROTECT            11111010
